beta=1
L=50
Kt=100
Kb=100
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,0.476199,-0.15251,0.866011,0.400374,0.914443,-0.0591172
0.0509338,0.0698532,0.476199,-0.15251,0.866011,0.663494,0.589514,0.460705,-0.157818,0.712186,-0.684021
-0.0295616,-0.114204,1.13969,0.437004,1.32672,0.454777,-0.134824,0.880341,0.437748,0.89467,-0.0891186
-0.0759992,-0.0129197,1.59447,0.30218,2.20706,0.616275,0.616532,0.489994,-0.0188306,0.633548,-0.773475
-0.322687,-0.133053,2.21074,0.918712,2.69705,0.319507,-0.00769947,0.947553,0.692644,0.684297,-0.227994
-0.176982,-0.0371393,2.53025,0.911013,3.6446,0.716439,0.556096,0.421275,0.298511,0.301429,-0.905556
-0.0199665,0.0351498,3.24669,1.46711,4.06588,0.24038,0.0879864,0.966683,0.757077,0.606276,-0.243441
-0.0744289,-0.0265077,3.48707,1.55509,5.03256,0.72389,0.547859,0.419325,0.334005,0.253524,-0.907836
0.00983438,-0.00911217,4.21096,2.10295,5.45189,0.19041,0.154959,0.969398,0.76679,0.593126,-0.245426
-0.116103,0.0842299,4.40137,2.25791,6.42128,0.761164,0.488,0.427183,0.40334,0.159616,-0.901021
-0.0681465,-0.064559,5.16253,2.74591,6.84847,0.136241,0.240022,0.96116,0.877987,0.420151,-0.229372
0.10423,-0.0936798,5.29878,2.98594,7.80963,0.717656,0.556136,0.419145,0.396488,0.168506,-0.902443
0.00311857,0.0785418,6.01643,3.54207,8.22877,0.802267,0.415525,-0.42861,-0.309989,-0.323615,-0.893969
0.0693968,-0.159545,6.8187,3.9576,7.80016,0.188786,0.1504,-0.970433,-0.851967,-0.466369,-0.238018
-0.172042,0.025069,7.00748,4.108,6.82973,0.794396,0.436173,-0.422715,-0.300089,-0.323238,-0.897476
-0.101664,-0.170128,7.80188,4.54417,6.40701,0.160064,0.155085,-0.974848,-0.748456,-0.62482,-0.222292
0.114342,0.175541,7.96194,4.69925,5.43217,0.776659,0.436015,-0.454635,-0.41779,-0.183602,-0.889799
0.00494347,0.0858894,8.7386,5.13527,4.97753,0.203552,0.0554534,-0.977492,-0.868821,-0.450031,-0.206453
-0.0745497,-0.0819316,8.94216,5.19072,4.00004,0.761401,0.454624,-0.462153,-0.35388,-0.305835,-0.883874
-0.0961409,0.0153426,9.70356,5.64535,3.53789,0.213619,0.036449,-0.976237,-0.758522,-0.623558,-0.18926
