beta=1
L=50
Kt=10
Kb=10
phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz
0,0,0,0,0,-0.798344,0.225881,0.558234,0.441173,-0.411587,0.797473
0.195631,0.259579,-0.798344,0.225881,0.558234,-0.680184,-0.730426,0.0618689,0.362298,-0.261603,0.894597
0.0415148,0.502164,-1.47853,-0.504545,0.620103,0.513198,-0.755877,-0.406544,0.323403,-0.268458,0.907381
-0.142357,0.256203,-0.96533,-1.26042,0.213559,0.923925,0.240031,-0.297906,0.33453,-0.129083,0.933503
-0.338169,-0.636814,-0.0414049,-1.02039,-0.0843474,0.885806,0.462133,-0.0422041,0.0386179,0.0172211,0.999106
0.196746,-0.34968,0.844401,-0.558258,-0.126552,0.51257,0.852621,-0.101539,0.229331,-0.02198,0.9731
0.515462,0.262542,1.35697,0.294362,-0.22809,-0.4877,0.831757,0.265195,0.652578,0.145548,0.743611
0.17224,-0.37647,0.869271,1.12612,0.0371051,-0.750749,0.446674,0.48668,0.640511,0.311962,0.70173
0.249001,0.47068,0.118521,1.57279,0.523785,-0.249725,-0.679913,0.68946,0.502042,0.517934,0.692603
-0.385723,0.0634979,-0.131204,0.892881,1.21325,0.515404,-0.830129,0.21271,0.734217,0.55577,0.389931
0.29135,-0.558501,0.3842,0.0627524,1.42596,0.516703,-0.839877,-0.166209,0.738445,0.338939,0.582941
-0.341594,0.167276,0.900903,-0.777124,1.25975,0.0532062,-0.925486,0.375027,0.921634,0.19008,0.338321
0.106746,-0.0603432,0.954109,-1.70261,1.63477,0.313663,-0.867511,-0.386058,0.89502,0.134336,0.425316
-0.0412848,-0.31748,1.26777,-2.57012,1.24872,0.446969,-0.467619,-0.762595,0.892433,0.174487,0.416075
0.0125862,-0.660393,1.71474,-3.03774,0.486121,0.442327,-0.259318,-0.858546,0.896247,0.163035,0.412506
0.205835,-0.437552,2.15707,-3.29706,-0.372425,0.302488,0.176086,-0.936747,0.95183,-0.00403587,0.306599
0.130559,-0.206477,2.45956,-3.12097,-1.30917,0.17693,0.759211,-0.626334,0.978447,-0.0668355,0.195382
0.133647,-0.117617,2.63649,-2.36176,-1.93551,0.0368864,0.996418,0.0760994,0.996972,-0.041909,0.0654956
-0.0901578,-0.0442068,2.67337,-1.36534,-1.85941,0.0809357,0.651267,-0.75452,0.991626,0.0238195,0.126929
0.286581,0.549096,2.75431,-0.714075,-2.61393,0.0598357,0.841493,0.536944,0.986866,0.0309908,-0.158542
-0.380227,0.215975,2.81414,0.127419,-2.07698,-0.127567,0.986826,-0.0995019,0.968689,0.145506,0.201173
0.388227,-0.165457,2.68658,1.11424,-2.17649,-0.29753,0.767816,0.567393,0.909815,0.408141,-0.0752212
0.0982462,0.565232,2.38905,1.88206,-1.60909,0.299866,-0.378324,0.875758,0.864887,0.495187,-0.0822247
0.379569,0.0153995,2.68891,1.50374,-0.733334,0.506722,-0.845792,0.16694,0.795807,0.533368,0.286722
0.0162996,0.260047,3.19563,0.657945,-0.566394,0.21739,-0.688458,0.69193,0.785882,0.543883,0.294245
0.0561906,0.0452927,3.41303,-0.0305124,0.125536,0.59693,-0.793396,-0.119149,0.77367,0.529935,0.347282
0.0286687,0.220445,4.00996,-0.823909,0.00638655,0.460301,-0.0808203,-0.884076,0.782818,0.50664,0.361264
-0.34085,0.36869,4.47026,-0.904729,-0.87769,-0.338638,0.718576,-0.607431,0.530115,0.679067,0.507785
-0.0384662,-1.1043,4.13162,-0.186153,-1.48512,-0.147613,0.693281,-0.705388,0.52103,0.660721,0.540348
-0.415225,-0.530064,3.98401,0.507128,-2.19051,-0.345875,0.869602,-0.352367,0.309613,0.460288,0.83203
-0.419326,-0.413513,3.63813,1.37673,-2.54288,-0.673063,0.738582,0.0384978,0.165283,0.0994765,0.981216
0.0454392,-0.518054,2.96507,2.11531,-2.50438,-0.892762,0.442901,0.0825579,0.16196,0.144507,0.976159
-0.190093,0.0597181,2.07231,2.55821,-2.42182,-0.86364,-0.462639,0.200226,0.240147,-0.0283504,0.970323
0.292272,0.162506,1.20867,2.09557,-2.22159,-0.0380314,-0.998877,0.0282705,-0.0437914,0.0299297,0.998592
0.0864664,-0.738525,1.17063,1.0967,-2.19332,0.117364,-0.992815,-0.023315,-0.100436,-0.0352233,0.99432
-0.690448,-0.74522,1.288,0.103882,-2.21664,0.297821,-0.850096,0.434327,0.260471,0.510073,0.819744
-0.245708,-1.0091,1.58582,-0.746213,-1.78231,0.249135,-0.735739,0.629778,0.336935,0.675505,0.655871
-0.26392,-0.218131,1.83495,-1.48195,-1.15253,0.78207,-0.563967,0.265157,0.423821,0.793263,0.437161
