@<TRIPOS>BOND
bond_id origin_atom_id target_atom_id bond_type
1 2 1 1
2 2 3 1
3 2 4 2
4 3 5 2
5 6 4 1
6 4 7 1
7 5 8 1
8 5 9 1
9 8 6 2
10 8 10 1
11 9 10 1
12 9 11 1
13 10 12 1
14 13 11 1
15 11 14 1
16 12 15 1
17 12 14 1
18 15 13 1
19 9 16 1
20 10 17 1
21 11 18 1
22 12 19 1
23 13 20 1
24 14 21 1
25 14 22 1
26 15 23 1
27 24 25 1
28 24 26 2
29 25 27 2
30 28 26 1
31 27 29 1
32 27 30 1
33 29 28 2
34 29 31 1
35 30 31 1
36 30 32 1
37 31 33 1
38 34 32 1
39 32 35 1
40 33 36 1
41 33 35 1
42 36 34 1
43 30 37 1
44 31 38 1
45 32 39 1
46 33 40 1
47 34 41 1
48 35 42 1
49 35 43 1
50 36 44 1
51 13 24 1
52 15 26 1
53 45 46 1
54 45 47 2
55 46 48 2
56 49 47 1
57 48 50 1
58 48 51 1
59 50 49 2
60 50 52 1
61 51 52 1
62 51 53 1
63 52 54 1
64 55 53 1
65 53 56 1
66 54 57 1
67 54 56 1
68 57 55 1
69 51 58 1
70 52 59 1
71 53 60 1
72 54 61 1
73 55 62 1
74 56 63 1
75 56 64 1
76 57 65 1
77 34 45 1
78 36 47 1
79 66 67 1
80 66 68 2
81 67 69 2
82 70 68 1
83 69 71 1
84 69 72 1
85 71 70 2
86 71 73 1
87 72 73 1
88 72 74 1
89 73 75 1
90 76 74 1
91 74 77 1
92 75 78 1
93 75 77 1
94 78 76 1
95 72 79 1
96 73 80 1
97 74 81 1
98 75 82 1
99 76 83 1
100 77 84 1
101 77 85 1
102 78 86 1
103 55 66 1
104 57 68 1
105 78 87 1
106 76 88 1
107 1 89 1
108 1 90 1
109 1 91 1
110 7 92 1
111 7 93 1
112 7 94 1
113 87 95 1
114 87 96 1
115 87 97 1
116 88 98 1
117 88 99 1
118 88 100 1
119 3 101 1
120 6 102 1
121 25 103 1
122 28 104 1
123 46 105 1
124 49 106 1
125 67 107 1
126 70 108 1
127 101 109 1
128 101 110 1
129 101 111 1
130 102 112 1
131 102 113 1
132 102 114 1
133 103 115 1
134 103 116 1
135 103 117 1
136 104 118 1
137 104 119 1
138 104 120 1
139 105 121 1
140 105 122 1
141 105 123 1
142 106 124 1
143 106 125 1
144 106 126 1
145 107 127 1
146 107 128 1
147 107 129 1
148 108 130 1
149 108 131 1
150 108 132 1
