@<TRIPOS>BOND
bond_id origin_atom_id target_atom_id bond_type
1 2 1 1
2 2 3 1
3 2 4 2
4 3 5 2
5 6 4 1
6 4 7 1
7 5 8 1
8 5 9 1
9 8 6 2
10 8 10 1
11 9 10 1
12 9 11 1
13 10 12 1
14 13 11 1
15 11 14 1
16 12 15 1
17 12 14 1
18 15 13 1
19 9 16 1
20 10 17 1
21 11 18 1
22 12 19 1
23 13 20 1
24 14 21 1
25 14 22 1
26 15 23 1
27 24 25 1
28 24 26 2
29 25 27 2
30 28 26 1
31 27 29 1
32 27 30 1
33 29 28 2
34 29 31 1
35 30 31 1
36 30 32 1
37 31 33 1
38 34 32 1
39 32 35 1
40 33 36 1
41 33 35 1
42 36 34 1
43 30 37 1
44 31 38 1
45 32 39 1
46 33 40 1
47 34 41 1
48 35 42 1
49 35 43 1
50 36 44 1
51 13 26 1
52 15 24 1
53 3 45 1
54 6 46 1
55 25 47 1
56 28 48 1
57 49 50 1
58 49 51 2
59 50 52 2
60 53 51 1
61 52 54 1
62 52 55 1
63 54 53 2
64 54 56 1
65 55 56 1
66 55 57 1
67 56 58 1
68 59 57 1
69 57 60 1
70 58 61 1
71 58 60 1
72 61 59 1
73 55 62 1
74 56 63 1
75 57 64 1
76 58 65 1
77 59 66 1
78 60 67 1
79 60 68 1
80 61 69 1
81 70 71 1
82 70 72 2
83 71 73 2
84 74 72 1
85 73 75 1
86 73 76 1
87 75 74 2
88 75 77 1
89 76 77 1
90 76 78 1
91 77 79 1
92 80 78 1
93 78 81 1
94 79 82 1
95 79 81 1
96 82 80 1
97 76 83 1
98 77 84 1
99 78 85 1
100 79 86 1
101 80 87 1
102 81 88 1
103 81 89 1
104 82 90 1
105 59 72 1
106 61 70 1
107 50 91 1
108 53 92 1
109 71 93 1
110 74 94 1
111 36 49 1
112 34 51 1
113 1 95 1
114 1 96 1
115 1 97 1
116 7 98 1
117 7 99 1
118 7 100 1
119 45 101 1
120 45 102 1
121 45 103 1
122 46 104 1
123 46 105 1
124 46 106 1
125 47 107 1
126 47 108 1
127 47 109 1
128 48 110 1
129 48 111 1
130 48 112 1
131 80 113 1
132 82 114 1
133 91 115 1
134 91 116 1
135 91 117 1
136 92 118 1
137 92 119 1
138 92 120 1
139 93 121 1
140 93 122 1
141 93 123 1
142 94 124 1
143 94 125 1
144 94 126 1
